Designator,Mid X,Mid Y,Layer,Rotation
K_5,133.35,-9.525,T,0.0
K_50,338.1375,-52.3875,T,0.0
K_51,16.66875,-71.4375,T,0.0
K_52,42.8625,-71.4375,T,0.0
K_53,61.9125,-71.4375,T,0.0
K_54,80.9625,-71.4375,T,0.0
K_55,100.0125,-71.4375,T,0.0
K_56,119.0625,-71.4375,T,0.0
K_57,138.1125,-71.4375,T,0.0
K_58,157.1625,-71.4375,T,0.0
K_59,176.2125,-71.4375,T,0.0
K_6,152.4,-9.525,T,0.0
K_60,195.2625,-71.4375,T,0.0
K_61,214.3125,-71.4375,T,0.0
K_62,233.3625,-71.4375,T,0.0
K_63,264.31875,-71.4375,T,0.0
K_64,21.43125,-90.4875,T,0.0
K_65,52.3875,-90.4875,T,0.0
K_66,71.4375,-90.4875,T,0.0
K_67,90.4875,-90.4875,T,0.0
K_68,109.5375,-90.4875,T,0.0
K_69,128.5875,-90.4875,T,0.0
K_7,171.45,-9.525,T,0.0
K_70,147.6375,-90.4875,T,0.0
K_71,166.6875,-90.4875,T,0.0
K_72,185.7375,-90.4875,T,0.0
K_73,204.7875,-90.4875,T,0.0
K_74,223.8375,-90.4875,T,0.0
K_75,250.03125,-90.4875,T,0.0
K_76,276.225,-90.4875,T,0.0
K_77,319.0875,-90.4875,T,0.0
K_78,11.90625,-109.5375,T,0.0
K_79,35.71875,-109.5375,T,0.0
K_8,190.5,-9.525,T,0.0
K_80,59.53125,-109.5375,T,0.0
K_81,130.96875,-109.5375,T,0.0
K_82,202.40625,-109.5375,T,0.0
K_83,226.21875,-109.5375,T,0.0
K_84,250.03125,-109.5375,T,0.0
K_85,273.84375,-109.5375,T,0.0
K_86,300.0375,-109.5375,T,0.0
K_87,319.0875,-109.5375,T,0.0
K_88,338.1375,-109.5375,T,0.0
K_9,219.075,-9.525,T,0.0
R1,308.575,-76.75,B,0.0
R2,302.25,-66.25,B,180.0
R3,21.74875,-76.5175,B,0.0
R4,314.0075,-14.605,B,0.0
U1,264.0,-16.5,B,0.0
U2,296.5,-65.5,B,90.0
U3,298.75,-75.5,B,90.0
Y1,299.1,-86.25,B,180.0
