Designator,Mid X,Mid Y,Layer,Rotation
REF**,72.345413,-63.200003,T,0.0
REF**,72.23072,-62.200004,T,0.0
REF**,75.469282,-62.200004,T,0.0
REF**,75.354589,-63.200004,T,0.0
REF**,75.469282,-64.200004,T,0.0
REF**,119.930725,-64.200004,T,0.0
REF**,120.045418,-63.200003,T,0.0
REF**,119.930725,-62.200004,T,0.0
REF**,27.769277,-74.90001,T,0.0
REF**,27.654584,-75.90001,T,0.0
REF**,27.769277,-76.90001,T,0.0
REF**,72.23072,-76.90001,T,0.0
REF**,72.345413,-75.900009,T,0.0
REF**,72.23072,-74.90001,T,0.0
REF**,75.469282,-74.90001,T,0.0
REF**,75.354589,-75.90001,T,0.0
REF**,75.469282,-76.90001,T,0.0
REF**,119.930725,-76.90001,T,0.0
REF**,120.045418,-75.900009,T,0.0
REF**,119.930725,-74.90001,T,0.0
REF**,27.769277,-87.600016,T,0.0
REF**,27.654584,-88.600016,T,0.0
REF**,27.769277,-89.600016,T,0.0
REF**,72.23072,-89.600016,T,0.0
REF**,72.345413,-88.600015,T,0.0
REF**,72.23072,-87.600016,T,0.0
REF**,75.469282,-87.600016,T,0.0
REF**,75.354589,-88.600016,T,0.0
REF**,75.469282,-89.600016,T,0.0
REF**,119.930725,-89.600016,T,0.0
REF**,120.045418,-88.600015,T,0.0
REF**,119.930725,-87.600016,T,0.0
REF**,27.769277,-100.300022,T,0.0
REF**,27.654584,-101.300022,T,0.0
REF**,27.769277,-102.300022,T,0.0
REF**,72.23072,-102.300022,T,0.0
REF**,72.345413,-101.300021,T,0.0
REF**,72.23072,-100.300022,T,0.0
REF**,75.469282,-100.300022,T,0.0
REF**,75.354589,-101.300022,T,0.0
REF**,75.469282,-102.300022,T,0.0
REF**,119.930725,-102.300022,T,0.0
REF**,120.045418,-101.300021,T,0.0
REF**,119.930725,-100.300022,T,0.0
REF**,27.769277,-113.000028,T,0.0
REF**,27.654584,-114.000028,T,0.0
REF**,27.769277,-115.000028,T,0.0
REF**,72.23072,-115.000028,T,0.0
REF**,72.345413,-114.000027,T,0.0
REF**,72.23072,-113.000028,T,0.0
REF**,75.469282,-113.000028,T,0.0
REF**,75.354589,-114.000028,T,0.0
REF**,75.469282,-115.000028,T,0.0
REF**,119.930725,-115.000028,T,0.0
REF**,120.045418,-114.000027,T,0.0
REF**,119.930725,-113.000028,T,0.0
REF**,27.769277,-125.700034,T,0.0
REF**,27.654584,-126.700034,T,0.0
REF**,27.769277,-127.700034,T,0.0
REF**,72.23072,-127.700034,T,0.0
REF**,72.345413,-126.700033,T,0.0
REF**,72.23072,-125.700034,T,0.0
REF**,75.469282,-125.700034,T,0.0
REF**,75.354589,-126.700034,T,0.0
REF**,75.469282,-127.700034,T,0.0
REF**,119.930725,-127.700034,T,0.0
REF**,120.045418,-126.700033,T,0.0
REF**,119.930725,-125.700034,T,0.0
REF**,62.499999,-54.850998,T,0.0
REF**,63.249999,-54.850998,T,0.0
REF**,63.999999,-54.850998,T,0.0
REF**,64.749999,-54.850998,T,0.0
REF**,65.499999,-54.850998,T,0.0
REF**,65.499999,-46.148999,T,0.0
REF**,64.749999,-46.148999,T,0.0
REF**,63.999999,-46.148999,T,0.0
REF**,63.249999,-46.148999,T,0.0
REF**,62.499999,-46.148999,T,0.0
REF**,34.499999,-54.850999,T,0.0
REF**,35.249999,-54.850999,T,0.0
REF**,35.999999,-54.850999,T,0.0
REF**,36.749999,-54.850999,T,0.0
REF**,37.499999,-54.850999,T,0.0
REF**,37.499999,-46.148998,T,0.0
REF**,36.749999,-46.148998,T,0.0
REF**,35.999999,-46.148998,T,0.0
REF**,35.249999,-46.148998,T,0.0
REF**,34.499999,-46.148998,T,0.0
REF**,110.200004,-54.850998,T,0.0
REF**,110.950004,-54.850998,T,0.0
REF**,111.700004,-54.850998,T,0.0
REF**,112.450004,-54.850998,T,0.0
REF**,113.200004,-54.850998,T,0.0
REF**,113.200004,-46.148999,T,0.0
REF**,112.450004,-46.148999,T,0.0
REF**,111.700004,-46.148999,T,0.0
REF**,110.950004,-46.148999,T,0.0
REF**,110.200004,-46.148999,T,0.0
REF**,82.200004,-54.850999,T,0.0
REF**,82.950004,-54.850999,T,0.0
REF**,83.700004,-54.850999,T,0.0
REF**,84.450004,-54.850999,T,0.0
REF**,85.200004,-54.850999,T,0.0
REF**,85.200004,-46.148998,T,0.0
REF**,84.450004,-46.148998,T,0.0
REF**,83.700004,-46.148998,T,0.0
REF**,82.950004,-46.148998,T,0.0
REF**,82.200004,-46.148998,T,0.0
REF**,62.499999,-67.551003,T,0.0
REF**,63.249999,-67.551003,T,0.0
REF**,63.999999,-67.551003,T,0.0
REF**,64.749999,-67.551003,T,0.0
REF**,65.499999,-67.551003,T,0.0
REF**,65.499999,-58.849,T,0.0
REF**,64.749999,-58.849,T,0.0
REF**,63.999999,-58.849001,T,0.0
REF**,63.249999,-58.849001,T,0.0
REF**,62.499999,-58.849001,T,0.0
REF**,34.499999,-67.551,T,0.0
REF**,35.249999,-67.551,T,0.0
REF**,35.999999,-67.551,T,0.0
REF**,36.749999,-67.551,T,0.0
REF**,37.499999,-67.551,T,0.0
REF**,37.499999,-58.849002,T,0.0
REF**,36.749999,-58.849002,T,0.0
REF**,35.999999,-58.849002,T,0.0
REF**,35.249999,-58.849003,T,0.0
REF**,34.499999,-58.849003,T,0.0
REF**,110.200004,-67.551003,T,0.0
REF**,110.950004,-67.551003,T,0.0
REF**,111.700004,-67.551003,T,0.0
REF**,112.450004,-67.551003,T,0.0
REF**,113.200004,-67.551003,T,0.0
REF**,113.200004,-58.849,T,0.0
REF**,112.450004,-58.849,T,0.0
REF**,111.700004,-58.849001,T,0.0
REF**,110.950004,-58.849001,T,0.0
REF**,110.200004,-58.849001,T,0.0
REF**,82.200004,-67.551,T,0.0
